"id","year","tif_number","status","url"
"155","1999","66","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_066_GreaterSouthwestEastAR99.pdf"
"156","1999","67","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_067_ArcherCourtsAR99.pdf"
"157","1999","68","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_068_RooseveltUnionAR99.pdf"
"158","1999","69","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_069_PulaskiAR99.pdf"
"159","1999","71","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_071_GalewoodArmitageAR99.pdf"
"160","1999","73","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_073_111thKedzieAR99.pdf"
"161","1999","74","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_074_ClarkRidgeAR99.pdf"
"162","1999","75","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_075_MadisonAustinAR99.pdf"
"163","1999","76","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_076_DevonWesternAR99.pdf"
"164","1999","77","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_077_LincolnAvenueAR99.pdf"
"165","1999","78","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_078_SouthWorksAR99.pdf"
"166","1999","79","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_079_35thWallaceAR99.pdf"
"167","1999","141","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_141_26thKingAR99.pdf"
"168","2000","1","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_001_35thHalstedAR00.pdf"
"169","2000","2","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_002_41stKingAR00.pdf"
"170","2000","3","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_003_43rdDamenAR00.pdf"
"171","2000","4","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_004_49thStLawrenceAR00.pdf"
"172","2000","5","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_005_60thWesternAR00.pdf"
"173","2000","6","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_006_72ndCiceroAR00.pdf"
"174","2000","7","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_007_73rdKedzieAR00.pdf"
"175","2000","8","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_008_95thStonyIslandAR00.pdf"
"176","2000","9","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_009_95thWesternAR00.pdf"
"177","2000","10","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_010_126thTorrenceAR00.pdf"
"178","2000","11","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_011_AddisonNorthAR00.pdf"
"179","2000","12","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_012_BloomingdaleLaramieAR00.pdf"
"180","2000","13","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/00reports/T_013_BrynMawrBroadwayAR00.pdf"
