tif_name,tif_year,tif_number,property_tax_extraction,expenses,transfers_in,transfers_out,distribution,fund_balance_end
Englewood Mall,2002,21,506486,14355,0,0,0,2108958
Fullteron/Normandy,2002,22,566869,14679,0,0,0,1887246
Goose Island,2002,23,1901688,1913040,0,0,0,4106890
Homan-Arthington,2002,24,666397,21210,0,0,0,1436787
Homan/Grand Trunk,2002,25,213927,8277,0,-175000,0,791023
Howard-Paulina,2002,26,1880470,297797,0,0,0,4138757
Irving/Cicero,2002,27,271444,434288,0,-87839,0,710366
Lincoln-Belmont-Ashland,2002,28,948068,1017672,0,0,0,1957720
Michigan/Cermak,2002,29,209748,9064,0,0,0,1102216
Near North,2002,30,4849275,4502615,0,0,0,15857113
Near South,2002,31,5982169,34917402,0,0,0,42591426
Near West,2002,32,4779845,1496229,0,0,0,21615797
North Branch (North),2002,33,1453035,379543,0,0,0,4692262
North Branch (South),2002,34,2233134,44191,0,0,0,4457711
North-Cicero,2002,35,94430,6094,0,0,0,224799
Read-Dunning,2002,36,2275977,788181,0,-7712540,0,1538857
River South,2002,37,4028771,1359778,0,0,0,9751054
Roosevelt/Cicero,2002,38,464306,576675,0,0,0,139401
Roosevelt/Canal,2002,39,762853,1232381,0,0,0,818102
Roosevelt-Homan,2002,40,523314,178913,0,0,0,2384296
Ryan/Garfield,2002,41,289272,307510,0,0,0,2745903
Sanitary Drainage and Ship Canal,2002,42,522950,585329,0,-1180350,0,1102379
Stockyards Annex,2002,43,856366,117592,0,0,0,3846567
Stockyards Industrial Commercial,2002,44,1861170,2086177,0,0,0,8415508
Stockyards Southeast Quadrant Industrial,2002,45,1515591,3162641,0,0,0,13640164
West Grand,2002,46,139203,6083,0,0,0,373305
West Ridge/Peterson,2002,47,280139,10251,0,0,0,2391627
Western/Ogden,2002,48,1090084,1357294,0,0,0,669341
89th and State,2002,49,342777,10541,0,0,0,584477
26th/Kostner,2002,51,0,0,0,0,0,0
Kinzie Industrial Corridor,2002,52,6730265,4394762,0,0,0,10300296
Pilsen Industrial Corridor,2002,53,2838378,433341,0,0,0,36053057
Stony Island Avenue Commercial and Burnside Industrial Corridors,2002,54,875787,159992,0,0,0,3157552
43rd/Cottage Grove,2002,55,450344,12016,0,0,0,827184
79th Street Corridor,2002,56,216163,87411,0,0,0,728419
Jefferson Park Business District,2002,57,105211,174310,0,0,0,750326
Portage Park,2002,58,571085,413599,0,0,0,1898869
Calumet Avenue/Cermak Road,2002,59,632384,16010,0,0,0,1242157
71st/Stony Island,2002,60,778686,17905,0,0,0,1051676
Bronzeville,2002,61,766686,518038,0,0,0,397250
Roosevelt/Racine,2002,62,0,0,0,0,0,0
Canal/Congress,2002,63,1327302,195398,0,0,0,2718586
Northwest Industrial Corridor,2002,64,1493263,31841,0,0,0,2933212
Woodlawn,2002,65,529957,496494,0,0,0,99657
Archer Courts,2002,67,161749,4811,0,0,0,158174
Roosevelt/Union,2002,68,0,0,0,0,0,0
Pulaski Corridor,2002,69,526425,136938,0,0,0,1273743
Galewood/Armitage Industrial,2002,71,328520,10399,0,0,0,891285
111th Street/Kedzie Avenue Business District,2002,73,80624,231118,0,0,0,298391
Clark Street and Ridge Avenue,2002,74,265469,189097,0,0,0,279772
Madison/Austin Corridor,2002,75,113980,6386,0,0,0,259356
Devon/Western,2002,76,382145,139269,0,0,0,578446
Lincoln Avenue,2002,77,1051385,139554,0,0,0,1964493
South Works Industrial,2002,78,112220,2920,0,0,0,115812
35th and Wallace,2002,79,0,0,0,0,0,0
Addison/Kimball,2002,80,0,0,0,0,0,0
Belmont/Central,2002,81,221264,3883,0,0,0,217735
Belmont/Cicero,2002,82,179018,7492,0,0,0,337873
West Irving Park,2002,83,242661,2168,2000000,0,0,2253577
