labels,examples,where_at
excess expenditures and other,,"2012_124, 2019_42"
payment to refunded bond escrow agent,"(94960136) | (2810965), 2810965","2001_14, 2002_15"
total other financing sources (uses) - net,"11632948, 11632948 | (3300000), (3300000)","2021_23, 2018_36"
revenue over (under) expenditures,"(1383501), 154819 | 370832, (99342)","1998_9, 2001_88"
revenues over (under) expenditures and,,"1997_20, 1998_20"
beginning of year :,"1052199, 690348, 1742547 | 24575181, (26938474), (2363293)","2007_10, 2014_87"
"fund balance, end of year $","257168, 1797517 | 236162","1998_1, 2008_14"
total revenues .,"1902620, (295367), 1607253 | 12943809, 3404521, 16348330","2004_44, 2007_86"
fund balance (deficit)/net assets:,,"2002_19, 2003_19"
‘economic development projects,"10106, 10106 | 1698800, 1698800","2006_6, 2015_4"
property tax :,"166006, (16152), 149854 | 390241, 16877, 407118","2008_2, 2014_4"
excess revenues and other financing,,"2013_124, 2014_124"
financing uses over revenue,"(2659111), 2659111 | (98547), 98547","2012_131, 2014_50"
property taxes $,112141079 | 103053804,"2007_14, 2008_14"
change in net assets (deficit),"(25099816), (25099816) | (44154), (44154)","2002_14, 2004_14"
debi service:,,"2008_115, 2015_23, 2016_71"
surplus distrubution (note 2),"(27000), (27000) | (33880), (33880) | (45210), (45210)","2020_99, 2014_67, 2014_82"
interest on investments,"9739224, 9739224 | 9504398 | 3733147","2006_14, 2007_14, 2008_14"
other,1459 | 22767,"2001_18, 2001_44, 2014_127"
",",,"2009_18, 2010_166, 2016_122"
low income households. (q)(11)(f),,"2007_14, 2007_50, 2008_14"
revenues under expenditures,"(7902908), (1048632) | (24989), (1540349) | (26579208), (7902908)","1998_37, 1999_1, 1999_37"
other financing sources (uses),,"1997_42, 1997_36, 1997_45"
rental income,"229001, 229001 | 136736, 136736 | 43808, 43808","2002_14, 2004_14, 2005_14"
change in nei position,"(1218906), (1218906) | 1756061, 1756061 | 303194, 303194","2015_4, 2015_36, 2015_90"
property tax s$,"686342, 710619 | 389121 | 1657797, 1479416","1997_15, 1997_26, 1997_45"
property tax .,"179018, 4574, 183592 | 295526, 523143, 818669 | 671860, 163766, 835626","2002_82, 2003_118, 2006_107"
surplus distribution (note 2},"(1528000), (1528000) | (1710000), (1710000) | (1665253), (1665253) | (82548), (82548)","2012_38, 2012_48, 2015_109, 2015_156"
incurred on approved redevelopment projects. (q)(11)(a-e),,"2007_14, 2007_50, 2008_14, 2009_120"
financing sources over expenditures,"1930312, (1930312) | 577921, (577921) | 15072, (15072) | 61160, (61160)","2003_63, 2003_67, 2020_144, 2011_172"
of existing buildings. (q)(3),6752384,"2007_14, 2007_50, 2008_154, 2009_120"
misecellaneous revenue,"136270, 136270 | 134106, 134106 | 134609, 134609 | 135112, 135112","2020_71, 2017_71, 2018_71, 2019_71"
excess of revenues and other,,"2003_63, 2003_67, 2020_144, 2011_172"
miscellaneous income,"637625, 637625 | 2500, 2500 | 426481, 426481 | 220000, 220000","2002_14, 2002_30, 2004_14, 2005_14"
