year,tif_number,property_tax,total_expenditures,transfers_in,transfers_out,surplus,end_balance,flags
2006,92,743415,48608,0,0,0,4373088,
2006,94,8393021,2908798,0,0,0,15266016,
2006,96,693593,20058,0,0,0,2380372,
2006,97,395114,11530,0,0,0,1557913,
2006,99,560205,15898,0,0,0,1737908,
2006,100,1516122,139999,0,0,0,1457174,
2006,103,1726742,398015,0,0,0,4628697,
2006,104,7912412,940101,0,0,0,15334276,
2006,105,576297,16047,0,0,0,1873251,
2006,106,2570952,617936,0,0,0,7853135,
2006,108,1509068,516294,0,0,0,5046809,
2006,109,2328941,2202702,0,0,0,1960084,
2006,110,4421404,3864168,0,0,0,6706999,
2006,111,130723,6279,0,0,0,300374,
2006,112,714346,18334,0,0,0,1735860,
2006,113,194078,7692,0,0,0,581990,
2006,114,248722,9082,0,0,0,821688,
2006,117,1552029,415869,0,0,0,3748417,
2006,118,3368139,125117,0,0,0,8595914,
2006,119,327139,64017,0,0,0,354415,
2006,120,146622,179808,0,0,0,144973,
2006,121,1391335,79827,0,0,0,3582299,
2006,123,425351,52745,0,0,0,1197019,
2006,125,493178,67146,0,0,0,1039859,
2006,126,273250,7827,0,0,0,329601,
2006,127,1558768,36526,0,0,0,4403808,
2006,128,1154867,62976,0,0,0,3133429,
2006,129,1630145,36768,0,0,0,1948818,
2006,130,704107,30994,0,0,0,3603093,
2006,131,240890,8502,0,0,0,667640,
2006,134,470709,386692,0,0,0,575107,
2006,136,630488,16581,0,0,0,1124690,
2007,1,3471585,697030,0,0,0,9643781,
2007,2,141752,77012,0,0,0,404398,
2007,3,134813,7481,0,0,0,762311,
2007,6,291359,10097,0,0,0,1437655,
2007,7,0,4714,0,0,0,506064,
2007,8,1151605,786292,0,0,0,2868604,
2007,9,845181,376332,0,0,0,3366576,
2007,10,919229,1026247,0,0,0,953391,
2007,15,1722927,4373171,0,0,0,19537705,
2007,18,89893,312075,0,0,0,341303,
2007,19,230431,8549,0,0,0,837223,
2007,21,484373,190714,0,0,0,4756379,
2007,23,3009672,2393307,0,0,0,7590464,
2007,24,1022233,23096,0,0,0,5435794,
